0,00,00
0,00,00
0,00,00
0,00,00
0,00,00
0,00,00
0,00,00
0,01,00
0,01,01
0,01,02
0,10,00
0,10,01
0,10,02
0,11,00
0,11,01
0,11,02
0,11,03
0,11,04
0,10,00
0,10,01
0,01,00
0,01,01
0,11,00
0,11,01
0,11,02
0,01,00
0,01,01
0,01,02
0,01,03
0,01,04
0,01,05
0,10,00
0,10,01
0,10,02
0,10,03
0,10,04
0,10,05
0,10,06
0,10,07
0,10,08
0,10,09
0,10,10
0,10,11
0,10,12
0,10,13
0,10,14
0,10,15
0,10,16
0,10,17
0,11,00
0,11,01
0,11,02
0,11,03
0,11,04
0,11,05
0,11,06
0,11,07
0,11,08
0,11,09
0,11,10
0,11,11
0,11,12
0,11,13
0,11,14
1,11,15
1,11,16
1,11,17
0,11,00
0,11,01
0,11,02
